#{"t_start": 1652967960.699577, "env_id": null}
r,l,t
10.411,564,4997.542883
3.518,465,5013.127573
11.903,1056,5048.389656
20.078,882,5077.825655
11.246,725,5102.176173
3.624,362,5114.403404
10.254,719,5138.560008
5.635,349,5150.341456
0.401,580,5169.788702
21.768,2092,5239.330536
3.385,593,5259.260079
6.26,713,5283.123229
17.47,1475,5332.199787
4.53,454,5347.513233
10.234,734,5372.014528
16.294,1646,5426.912125
4.292,684,5449.752591
9.12,852,5478.144078
4.236,739,5502.945407
4.187,783,5529.410972
4.384,593,5549.610614
0.324,652,5571.728453
39.411,3455,5686.978631
2.362,616,5707.949281
8.171,798,5734.946242
38.249,2638,5822.84925
4.396,583,5842.663885
7.47,510,5860.049233
6.832,1128,5898.117433
6.333,640,5919.700758
11.123,842,5947.909104
11.83,1121,5985.805522
11.202,765,6011.738548
12.04,920,6042.837734
6.287,687,6066.137819
3.597,390,6079.484603
7.358,616,6100.199168
14.836,1121,6137.673824
4.453,528,6155.48301
30.003,1911,6219.039316
7.413,564,6238.453293
2.315,659,6260.735014
3.41,568,6279.922861
33.648,2254,6355.887791
5.392,587,6375.824478
13.844,1108,6413.496377
1.405,575,6433.244294
4.26,712,6457.396241
4.212,759,6482.886442
5.494,486,6499.609603
7.804,1152,6538.253708
5.492,488,6554.67222
10.213,755,6580.288804
4.647,338,6591.876378
3.361,615,6612.524383
3.456,525,6630.455763
11.091,873,6659.703337
1.451,529,6677.654255
10.296,678,6700.320225
5.476,503,6717.521427
4.998,968,6750.348779
5.438,542,6768.548692
1.457,523,6786.358741
8.858,1099,6823.14008
3.364,611,6843.640655
8.019,944,6875.667615
-0.532,514,6893.016871
6.949,1014,6926.98333
3.469,509,6944.218786
0.507,476,6960.139722
12.082,879,6989.797411
3.652,333,7001.163272
16.055,907,7031.693493
8.445,533,7049.871311
7.054,910,7080.476278
0.425,555,7099.691007
14.819,1133,7137.609066
12.971,985,7170.676026
13.963,999,7204.527401
5.378,597,7224.853176
2.452,528,7242.844281
6.973,981,7275.742069
8.152,815,7303.105365
9.695,1260,7345.451345
-2.036,35,7346.928941
-0.301,243,7355.680358
-1.034,33,7357.310353
13.953,1007,7391.21074
2.57,414,7405.179881
3.357,621,7426.136082
7.182,789,7452.610736
3.492,491,7469.179621
7.344,632,7490.433323
5.49,490,7507.044498
1.48,499,7523.820671
2.566,418,7538.027558
2.3,677,7560.729154
8.576,1251,7603.101953
5.518,464,7618.800571
12.054,910,7649.266284
16.727,1217,7690.05109
9.166,804,7717.381659
2.437,544,7735.616874
7.052,915,7766.485673
3.304,670,7789.022457
5.051,914,7819.656322
2.635,352,7831.731498
2.694,294,7841.831981
6.192,780,7868.202236
27.433,2358,7946.929239
8.438,538,7965.047379
5.387,591,7985.034054
2.314,662,8007.25353
1.362,615,8027.804506
13.668,1283,8070.583373
1.332,644,8092.423908
6.258,714,8116.867798
1.759,229,8124.838273
6.428,548,8143.417445
3.242,732,8168.22134
5.494,489,8184.72365
5.065,898,8214.942983
-0.137,132,8219.951229
7.384,594,8240.084158
2.388,591,8260.186993
2.583,401,8274.067895
3.358,619,8295.12093
10.784,1170,8334.341055
-2.119,117,8338.672667
8.21,759,8364.235426
6.507,473,8380.307754
1.395,582,8400.219243
0.908,89,8403.505786
3.448,531,8421.469503
0.834,153,8426.985937
6.338,636,8448.403816
7.392,586,8468.320904
-0.578,559,8487.237023
5.481,500,8504.18749
4.358,616,8525.003401
9.119,848,8553.637672
0.421,560,8572.621105
4.289,685,8595.754045
3.158,793,8622.458538
2.947,1017,8656.588278
3.355,621,8677.539767
9.179,790,8704.208512
0.568,417,8718.438975
4.392,586,8738.4575
1.612,372,8751.062471
12.861,1095,8787.611698
7.0,960,8819.92297
1.317,661,8842.150607
3.417,563,8861.012117
0.415,566,8880.312014
5.118,851,8908.813474
9.991,971,8941.440535
-0.288,277,8950.990453
3.495,489,8967.429986
6.009,957,8999.683524
7.165,803,9026.457596
5.493,488,9042.791722
2.432,548,9061.55777
2.262,711,9085.561356
10.047,915,9116.176376
9.096,872,9145.466073
7.328,647,9167.17714
9.455,519,9184.642934
7.333,642,9206.259818
2.286,690,9229.257334
5.406,572,9248.708759
12.842,1112,9286.069948
8.491,492,9302.904322
0.832,161,9308.684174
-0.503,483,9325.523568
7.184,787,9351.877178
1.467,518,9369.548004
13.869,1085,9405.993436
1.427,556,9424.549104
1.611,373,9437.297403
9.158,813,9464.472989
12.163,805,9491.42388
-0.483,468,9507.544048
8.237,734,9532.047907
2.737,251,9540.615308
0.881,114,9544.66574
9.394,582,9564.177382
6.908,1052,9599.491241
6.269,696,9622.827058
5.464,518,9640.224491
5.325,652,9662.074888
-0.19,183,9668.610309
-0.048,46,9670.271574
-1.053,51,9672.109679
4.169,803,9699.218612
2.188,783,9725.727908
